sta_id,objectid,sta_objectid,centeroid_lat,centeroid_lng,fire_year,mof_fire_centre_name,fire_size_hectares,fire_cause
161,1869845,1,49.38994035244089,-117.647912714432,1919,Southeast Fire Centre,92.60000000000001,Person
161,1869860,1,49.47308001844391,-117.30928424965283,1919,Southeast Fire Centre,51.800000000000004,Person
161,1869894,1,49.32917680155103,-115.486859321123,1919,Southeast Fire Centre,682.0,Person
161,1869842,1,49.43874728558148,-118.06175187306988,1919,Southeast Fire Centre,555.3000000000001,Lightning
161,1869907,1,49.08888717775756,-115.16836888711404,1919,Southeast Fire Centre,56.6,Person
161,1869857,1,50.002900301810364,-117.08857498272698,1919,Southeast Fire Centre,330.8,Lightning
161,1869828,1,49.105903390221116,-118.49956758495186,1919,Southeast Fire Centre,39.5,Person
161,1869668,1,49.63513121628893,-114.90562043336688,1919,Southeast Fire Centre,718.7,Person
161,1869663,1,49.116755850127056,-117.33301228073634,1919,Southeast Fire Centre,3787.2000000000003,Lightning
161,1869676,1,49.33512362305924,-117.75803515177965,1919,Southeast Fire Centre,66.9,Person
161,1869849,1,49.53007208116709,-118.08523237837679,1919,Southeast Fire Centre,2225.8,Lightning
161,1869826,1,49.06735294499071,-115.0557704942408,1919,Southeast Fire Centre,1752.2,Person
161,1869889,1,50.279635527559016,-117.81479465221098,1919,Southeast Fire Centre,124.0,Lightning
161,1869903,1,49.61004571544287,-116.30967498705373,1919,Southeast Fire Centre,1022.5,Person
161,1869672,1,49.61202617411173,-114.78842643240989,1919,Southeast Fire Centre,1336.5,Person
161,1869774,1,49.526844011334205,-115.6047955506935,1919,Southeast Fire Centre,169.8,Person
161,1869836,1,50.30258549571216,-116.48450742084142,1919,Southeast Fire Centre,3183.8,Lightning
161,1869660,1,49.06466485686257,-115.78458269753413,1919,Southeast Fire Centre,55.6,Lightning
161,1869685,1,49.962836268301025,-118.11159898889966,1919,Southeast Fire Centre,54.2,Person
161,1869827,1,49.48525535189844,-117.48152756601559,1919,Southeast Fire Centre,109.60000000000001,Person
161,1869832,1,49.07223940561553,-118.64949465848223,1919,Southeast Fire Centre,110.60000000000001,Person
161,1869810,1,49.64238170095158,-114.98790995057645,1919,Southeast Fire Centre,16893.5,Person
161,1869902,1,49.06093791075023,-114.4620338229752,1919,Southeast Fire Centre,1693.7,Person
161,1869749,1,49.121777503189605,-115.28183168561578,1919,Southeast Fire Centre,22.1,Person
161,1869898,1,50.49928039993284,-118.37152758069345,1919,Southeast Fire Centre,78.10000000000001,Lightning
161,1869667,1,50.480570973538306,-117.28256305594304,1919,Southeast Fire Centre,214.9,Lightning
161,1869876,1,49.30157728130337,-117.35877183975259,1919,Southeast Fire Centre,6199.8,Lightning
161,1869666,1,49.73944755482598,-115.79398541949772,1919,Southeast Fire Centre,116.4,Person
161,1869653,1,50.11081290907934,-117.95269104535691,1919,Southeast Fire Centre,100.5,Person
161,1869736,1,49.14487280683012,-117.76758826741519,1919,Southeast Fire Centre,2943.6,Person
161,1869691,1,49.36804402290357,-119.1140941545886,1919,Southeast Fire Centre,18.400000000000002,Lightning
161,1869682,1,49.14942630486445,-118.89054271058522,1919,Southeast Fire Centre,76.8,Lightning
161,1869793,1,49.389456035415805,-115.81453465493098,1919,Southeast Fire Centre,88.60000000000001,Person
161,1869687,1,49.27856622684441,-117.16822675725463,1919,Southeast Fire Centre,2250.8,Lightning
161,1869837,1,49.740700737368755,-117.54621334536358,1919,Southeast Fire Centre,38.5,Person
161,1869882,1,49.552548817690734,-115.9237296614155,1919,Southeast Fire Centre,457.1,Lightning
161,1869909,1,49.059376029386044,-115.13886684687152,1919,Southeast Fire Centre,161.3,Person
161,1869690,1,49.16770421364392,-117.26779409640237,1919,Southeast Fire Centre,638.7,Person
161,1869689,1,49.72467816055935,-116.68604456327583,1919,Southeast Fire Centre,88.0,Lightning
161,1869670,1,49.42460675649596,-115.05177172819306,1919,Southeast Fire Centre,162.70000000000002,Person
161,1869789,1,49.172405817982735,-115.27034735990136,1919,Southeast Fire Centre,25.6,Person
161,1869681,1,50.00890407537982,-116.86870181934525,1919,Southeast Fire Centre,119.60000000000001,Lightning
161,1869686,1,49.03572145434271,-118.152430406433,1919,Southeast Fire Centre,18.7,Person
161,1869887,1,50.63557309978727,-116.01565352340015,1919,Southeast Fire Centre,71.60000000000001,Person
161,1869841,1,49.4482351469795,-118.16434739929362,1919,Southeast Fire Centre,1903.6000000000001,Lightning
161,1869692,1,49.05530431262854,-117.992591425954,1919,Southeast Fire Centre,1336.4,Lightning
161,1869675,1,49.226324334515496,-117.2853574187691,1919,Southeast Fire Centre,167.5,Person
161,1869897,1,49.526597197350654,-115.94614705176915,1919,Southeast Fire Centre,762.1,Person
161,1869654,1,49.08137729295444,-118.63709872813563,1919,Southeast Fire Centre,30.5,Person
161,1869869,1,49.301777531060885,-114.5974012778715,1919,Southeast Fire Centre,525.9,Lightning
161,1869726,1,49.72022265584609,-115.85533462557187,1919,Southeast Fire Centre,612.7,Person
161,1869722,1,49.891845951733835,-117.08616441741901,1919,Southeast Fire Centre,170.4,Person
161,1869883,1,49.05106943265753,-118.65163703409382,1919,Southeast Fire Centre,29.3,Person
161,1869867,1,49.06006760111873,-114.48060212570068,1919,Southeast Fire Centre,4544.6,Person
161,1869807,1,49.72006852595238,-115.99644799034408,1919,Southeast Fire Centre,4633.5,Person
161,1869776,1,49.55055606530296,-115.86697550973517,1919,Southeast Fire Centre,3367.3,Person
161,1869891,1,49.59327909648308,-115.86346401993383,1919,Southeast Fire Centre,159.70000000000002,Person
