feature_area_sqm,feature_length_m,mof_fire_centre_id,mof_fire_centre_name,objectid,centeroid_lat,centeroid_lng
2.63204133778442E11,5128878.5658,166,Northwest Fire Centre,6,56.56036501074665,-127.86863015078664
2.03429248891271E11,3758998.2419,164,Coastal Fire Centre,4,51.76933359471333,-125.1057852707031
3.36733034905391E11,4919934.2204,165,Prince George Fire Centre,5,55.866330253094006,-124.84749685136535
8.2480071771623E10,2088550.1794,163,Cariboo Fire Centre,3,52.221574946135085,-122.64695148815353
7.15791920889233E10,2517695.9063,162,Kamloops Fire Centre,2,50.98176325901955,-120.76191592799093
8.23382452291782E10,1952980.5094,161,Southeast Fire Centre,1,51.02748740772872,-117.01162952139136
