NAPS_ID,EMS_ID,STATION_NAME,REGION,OWNER,DATE,MONTH,YEAR,MONTHLY1-HR_AVG,ANNUAL1-HR_AVG
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-01-01,1,2009,11.248,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-01-31,2,2009,7.704,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-03-02,3,2009,22.388,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-03-31,4,2009,30.634,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-04-30,5,2009,16.377,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-05-31,6,2009,17.5,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-06-30,7,2009,20.339,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-07-31,8,2009,14.205,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-08-31,9,2009,12.186,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-09-30,10,2009,14.985,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-10-31,11,2009,13.69,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-11-30,12,2009,12.714,16.659
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2009-12-31,1,2010,11.521,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-01-31,2,2010,11.981,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-02-28,3,2010,42.149,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-04-01,4,2010,20.162,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-04-30,5,2010,14.11,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-05-31,6,2010,12.326,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-06-30,7,2010,15.108,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-07-31,8,2010,25.391,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-08-31,9,2010,11.503,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-09-30,10,2010,11.602,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-10-31,11,2010,14.673,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-11-30,12,2010,9.54,16.524
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2010-12-31,1,2011,11.862,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-01-31,2,2011,12.176,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-02-28,3,2011,36.071,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-03-31,4,2011,29.784,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-04-30,5,2011,15.41,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-05-31,6,2011,16.158,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-06-30,7,2011,10.945,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-07-31,8,2011,15.96,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-08-31,9,2011,16.906,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-09-30,10,2011,17.818,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-10-31,11,2011,11.472,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-11-30,12,2011,10.247,17.087
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2011-12-31,1,2012,8.099,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-01-31,2,2012,13.383,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-02-29,3,2012,33.097,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-03-31,4,2012,21.615,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-04-30,5,2012,18.404,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-05-31,6,2012,11.592,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-06-30,7,2012,23.758,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-07-31,8,2012,13.757,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-08-31,9,2012,17.175,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-09-30,10,2012,20.51,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-10-31,11,2012,12.887,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-11-30,12,2012,9.929,17.045
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2012-12-31,1,2013,11.695,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-01-31,2,2013,11.897,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-02-28,3,2013,42.403,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-04-01,4,2013,24.518,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-04-30,5,2013,23.793,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-05-31,6,2013,13.486,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-06-30,7,2013,13.722,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-07-31,8,2013,11.632,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-08-31,9,2013,13.382,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2013-09-30,10,2013,19.018,18.317
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-04-08,4,2014,17.357,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-04-30,5,2014,14.011,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-05-31,6,2014,12.605,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-06-30,7,2014,15.514,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-07-31,8,2014,16.895,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-08-31,9,2014,13.53,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-09-30,10,2014,14.092,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-10-31,11,2014,20.554,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-11-30,12,2014,9.739,14.838
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2014-12-31,1,2015,6.959,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-01-31,2,2015,17.579,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-02-28,3,2015,43.764,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-03-31,4,2015,19.35,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-05-09,5,2015,17.96,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-05-31,6,2015,10.683,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-06-30,7,2015,7.142,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-07-31,8,2015,9.567,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-08-31,9,2015,10.237,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-09-30,10,2015,16.249,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-10-31,11,2015,20.829,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-11-30,12,2015,8.343,15.621
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2015-12-31,1,2016,8.563,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-01-31,2,2016,24.039,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-02-29,3,2016,28.87,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-03-31,4,2016,14.27,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-04-30,5,2016,10.384,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-05-31,6,2016,13.015,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-06-30,7,2016,10.285,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-07-31,8,2016,16.426,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-08-31,9,2016,11.059,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-09-30,10,2016,17.057,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-10-31,11,2016,11.382,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-11-30,12,2016,11.201,14.8
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2016-12-31,1,2017,10.481,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-01-31,2,2017,24.394,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-02-28,3,2017,23.496,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-03-31,4,2017,20.127,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-04-30,5,2017,14.781,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-05-31,6,2017,17.162,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-06-30,7,2017,13.204,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-07-31,8,2017,15.125,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-08-31,9,2017,12.389,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-09-30,10,2017,16.559,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-10-31,11,2017,11.288,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2017-11-30,12,2017,10.941,15.843
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-01-03,1,2018,6.754,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-01-31,2,2018,6.205,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-02-28,3,2018,14.87,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-03-31,4,2018,37.907,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-04-30,5,2018,14.166,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-05-31,6,2018,6.281,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-06-30,7,2018,17.585,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-07-31,8,2018,66.667,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-08-31,9,2018,15.984,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-09-30,10,2018,15.082,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-10-31,11,2018,11.032,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-11-30,12,2018,11.2,19.146
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2018-12-31,1,2019,6.022,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-01-31,2,2019,8.179,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-02-28,3,2019,52.893,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-03-31,4,2019,19.358,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-04-30,5,2019,14.961,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-05-31,6,2019,7.627,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-06-30,7,2019,8.992,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-07-31,8,2019,11.572,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-08-31,9,2019,8.742,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-09-30,10,2019,14.818,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-10-31,11,2019,11.765,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-11-30,12,2019,6.958,14.417
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2019-12-31,1,2020,6.504,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-01-31,2,2020,6.277,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-02-29,3,2020,36.265,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-03-31,4,2020,17.324,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-04-30,5,2020,10.723,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-05-31,6,2020,5.976,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-06-30,7,2020,14.887,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-07-31,8,2020,10.573,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-08-31,9,2020,17.645,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-09-30,10,2020,16.946,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-10-31,11,2020,13.71,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-11-30,12,2020,8.333,13.951
105201,E225267,Burns Lake Fire Centre,06 - Skeena,ENV,2020-12-31,1,2021,10.0,10.0
102802,E229798,Campbell River Tyee Spit,01 - Vancouver Island,INDUSTRY,2009-01-01,1,2009,7.514,9.666
102802,E229798,Campbell River Tyee Spit,01 - Vancouver Island,INDUSTRY,2009-01-31,2,2009,9.3,9.666
102802,E229798,Campbell River Tyee Spit,01 - Vancouver Island,INDUSTRY,2009-02-28,3,2009,8.754,9.666
